[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.85464,0.001,2.62955,-1.38395,2.41014,0.18844,,0.0,5 x 5,234.8,237.0,4230.0,13.7,14.1,175 x 118,10.25,-0.13202,0.00104,2.47429,-0.82293,-0.39948,0.17763,20.0,208.1,0.047
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.8461,0.00113,2.7403,-1.41423,2.38756,0.18662,1.0,290.48,5 x 5,225.6,228.6,4240.0,14.7,15.0,47 x 62,16.01,-0.14054,0.00112,2.58311,-0.84814,-0.42467,0.17584,51.0,198.1,0.045
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.85009,0.00113,2.6918,-1.35563,2.40498,0.17918,,0.0,100 x 115,218.0,223.6,4245.0,15.4,15.8,50 x 85,14.27,-0.14579,0.00116,2.65208,-0.86955,-0.44184,0.17567,4.0,193.1,0.044
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.83862,0.00116,2.82341,-1.42334,2.37278,0.18304,1.0,349.9,5 x 5,216.7,218.9,4250.0,15.6,16.0,192 x 79,14.73,-0.14934,0.0012,2.68913,-0.8699,-0.4504,0.17352,4.0,188.1,0.042
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.83325,0.00122,2.88759,-1.44394,2.35864,0.18235,,0.0,5 x 5,212.7,214.5,4255.0,16.2,16.5,80 x 32,17.59,-0.15404,0.0012,2.74686,-0.88259,-0.46488,0.17324,50.0,183.1,0.041
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.82793,0.00125,2.93962,-1.4541,2.34781,0.18173,1.0,353.39,5 x 5,208.3,210.0,4260.0,17.0,17.4,46 x 79,13.66,-0.16093,0.00121,2.82096,-0.90657,-0.48405,0.173,88.0,178.1,0.04
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.82435,0.00121,2.98078,-1.45675,2.33892,0.17979,,0.0,5 x 5,203.6,205.4,4265.0,17.3,17.6,102 x 82,0.0,-0.16344,0.00127,2.86024,-0.90577,-0.49428,0.17058,10.0,173.1,0.039
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.81849,0.00127,3.04137,-1.47209,2.3254,0.17835,,0.0,5 x 5,199.5,201.0,4270.0,18.2,18.6,29 x 77,16.44,-0.1711,0.00131,2.93746,-0.93107,-0.5143,0.17074,7.0,168.1,0.038
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.81346,0.00126,3.09385,-1.48114,2.31276,0.17693,10.0,287.1,5 x 5,194.7,197.0,4275.0,18.8,19.2,43 x 29,13.63,-0.17633,0.0013,2.99483,-0.94235,-0.53012,0.16943,10.0,163.1,0.037
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.80818,0.00137,3.14836,-1.49171,2.29996,0.17584,,0.0,5 x 5,190.7,192.3,4280.0,19.1,19.5,116 x 147,17.3,-0.17997,0.00138,3.03696,-0.94212,-0.54165,0.16757,108.0,158.1,0.036
